FIPS,Income,Education,Black,Hispanic,Rurality
5139,49664.0,0.8795695642,0.3235821055,0.0488274461,0.521227019
5141,50332.0,0.8643169583,0.0076198736,0.0350018585,1.0
5143,66158.0,0.8726297793,0.0370561539,0.1870892261,0.2400120388
5145,56178.0,0.8674764998,0.0457477184,0.0507571509,0.5591367056
5147,43259.0,0.8291676221,0.2476525822,0.0212944333,1.0
5149,51997.0,0.8150301621,0.0180103772,0.2109858312,0.8070374574
6001,119230.0,0.8889984217,0.0964290206,0.2333860194,0.0049056292
6003,83265.0,0.9626485569,0.0122699387,0.1262050833,1.0
6005,80767.0,0.9096726557,0.0274568893,0.1645978331,0.692296289
6007,63084.0,0.9032705547,0.0175989033,0.2056455506,0.2101667045
6009,77041.0,0.9334622065,0.0089337485,0.1521743799,0.8197474168
6011,66675.0,0.7319255548,0.0108453964,0.6343422426,0.4270342049
6013,122000.0,0.8961254667,0.0845678665,0.2781264475,0.0100014838
6015,70231.0,0.8554374654,0.0257249238,0.1979013878,0.4369750928
6017,107063.0,0.9491652095,0.0093176911,0.147319408,0.3667233308
6019,71271.0,0.7859692483,0.0469128811,0.5493028642,0.1126501258
6021,64197.0,0.8032320412,0.0076433574,0.4553663479,0.4121105232
